no,bulan,laki_laki_44_tahun_penderita,laki_laki_44_tahun_meninggal,perempuan_44_tahun_penderita,perempuan_44_tahun_meninggal
1,Januari,11,0,10,0
2,Februari,2,0,8,0
3,Maret,12,0,9,0
4,April,13,0,11,1
5,Mei,16,0,14,0
6,Juni,19,0,14,0
7,Juli,11,0,11,0
8,Agustus,8,0,6,0
9,September,5,0,3,0
10,Oktober,4,0,6,0
11,November,3,0,8,0
12,Desember,3,0,6,0
