no,nama_gereja,jumlah_anggota,jadwal_kebaktian,alamat,kelurahan
1,Kebaktian HKBP,-,-,Komp. Taman Anggrek RT 04/07,Suka Asih
2,Tabernakel,100,Rabu dan Jumat,Gg. Maskardi RT.04 RW.01,Babakan
