no,nama_perusahaan,kelurahan,alamat,jenis_usaha,jml_karyawan,thn_berdiri
208,NA,NA,Jl. Paledang  RT.04/02,konveksi,4,2005
209,Avis Garment,NA,Jl. Paledang  RT.04/02,konveksi,5,2005
210,Anugrah Jaya,NA,Jl. Paledang 380 RT.06/02,konveksi,4,2009
211,NA,NA,Bbk Cibeureum RT.03/01,konveksi,6,2000
212,NA,NA,Bbk. Cibeureum RT.02/01,konveksi,15,1997
213,NA,NA,Bbk. Cibeureum RT.03/01,konveksi,3,2000
214,NA,NA,Bbk. Cibeureum RT.03/01,konveksi,4,2000
215,NA,NA,Asrama kipal RT.05/04,konveksi kerudung,12,2007
216,NA,NA,Babakan Cianjur RT.05/07,percetakan,sablon,2
217,Manna Konvection,NA,Asrama kipal RT.05/04,konveksi,4,2008
218,NA,NA,Jl. Paledang  RT.04/02,Bordir,4,2008
219,NA,NA,Jl. Paledang  RT.05/02,Bordir,10,2007
220,Enggal Jaya,NA,Jl.Raya Cimindi RT.02/05,Perdagangan onderdil,4,2004
221,Cimahi Almunium,NA,Jl.Ry Cimindi 112 RT.01/05,Etalase,rak almunium,4
222,CV Gerald Putra Perkasa,NA,Paledang 26 RT.01/02,sepatu,3,1996
223,NA,NA,Paledang RT.01/02,sepatu,3,2006
224,SK. Setia Karya,NA,Paledang 177 RT.03/02,Sikat tekstile,2,1997
225,Cv.Dinasty Adiraka,NA,Paledang 163 RT.03/02,Instalasi listrik,4,1990
226,Bintang Mas,NA,Jl. Raya Cimindi 168 Rt. 06/05,konveksi,20,2004
227,Raflesia,NA,Bojong Koneng no.35 Rt. 04/06,produksi tas,19,2009
228,Bima Setia,NA,Gg.Bp.Ohe RT.04/05,oven,12,1990
229,Bima Darma,NA,Jl.Raya Cimindi 98 Rt. 01/01,oven,loyang,buleng
230,Surya,NA,Cimindi Utara RT.02/05,oven gas,3,2000
231,Bima Ekspres,NA,Cimindi Utara RT.01/05,oven,3,1991
232,Bima Setia,NA,Cimindi Utara RT.01/05,oven,5,1995
