no,nama_sarana_pendidikan,status,jumlah_kepala_sekolah,jumlah_guru_tetap,jumlah_guru_honorer,jumlah_guru_bantu,jumlah_guru_keseluruhan,jumlah_murid_laki_laki,jumlah_murid_perempuan,jumlah_murid_keseluruhan,jumlah_ruang_belajar,jumlah_rombongan_belajar,alamat
1,MTs. Nurul Huda,Swasta,1,4,18,NA,23,68,46,114,4,4,Jl. L. Panjang RW 07 Kel. Situsaeur
2,Sejati / YPS,Swasta,1,3,NA,NA,4,22,19,41,4,3,JL. Kopo Gg Pakasih RW 07 Kel.Kebonlega
3,SMP Plus Al. Gozali,Swasta,1,4,9,NA,14,10,17,27,3,3,Cibintinu RW 05 Kel. Kebonlega
4,MTs. Sirna Miskin,Swasta,1,5,34,NA,39,211,136,347,10,10,Jl. KH. Wahid Hasyim/ Kopo 429-433 Kel Kebonlega
5,MTs. Al Huda,Swasta,1,1,16,NA,18,53,55,108,3,1,Jl. Kebonlega 2 RW 01 Kel.Kebonlega
6,SMP Cokroaminoto,Swasta,1,2,13,NA,16,66,49,115,6,6,Jl. Kebonlega 2 RW 01 Kel.Kebonlega
7,SMPN 38,Negeri,1,52,7,NA,60,530,542,1072,21,25,Jl. Borobudur RT 03 RW 04 Kel. Cib Kidul
8,SMP Yudistira,Swasta,1,NA,13,NA,14,28,24,52,6,3,SDA
9,Mts. Nurul Iman,Swasta,1,3,21,NA,25,250,236,486,11,11,Jl. Cibaduyut  RW.03 Kel Cibaduyut Wetan
