no,kelurahan,penduduk_pria,penduduk_wanita,lahir_pria,lahir_wanita,mati_pria,mati_wanita,pindah_pria,pindah_wanita,datang_pria,datang_wanita,penduduk_akhir_bulan_pria,penduduk_akhir_bulan_wanita
1,ANCOL,0,0,0,0,0,0,0,0,0,0,0,0
2,BALONGGEDE,0,1,0,0,0,0,0,0,0,0,0,1
3,CIATEUL,1,1,0,0,0,0,0,0,0,0,1,1
4,CIGERELENG,2,0,0,0,0,0,0,0,0,0,2,0
5,CISEUREUH,0,0,0,0,0,0,0,0,0,0,0,0
6,PASIRLUYU,5,0,0,0,0,0,0,0,0,0,5,0
7,PUNGKUR,0,1,0,0,0,0,0,0,0,0,0,1
