no,kecamatan,kelurahan,lokasi_sumur_resapan,jumlah_sumur_resapan
1,Sukajadi,Sukagalih,Rw 01,1
2,Sukajadi,Sukagalih,Rw 02,1
3,Sukajadi,Sukagalih,Rw 03,1
4,Sukajadi,Sukagalih,Rw 04,1
5,Sukajadi,Sukagalih,Rw 05,1
6,Sukajadi,Sukagalih,Rw 06,1
