skpd,program,kegiatan,anggaran,realisasi,persentase_serapan,tahun,catatan
Bagian Humas,Program Kerjasama Informasi Dengan Mass Media,Kegiatan Penyebarluasan Informasi Pembangunan Daerah,10855388909,10316415035,95.03,2017,-
Bagian Humas,Program Kerjasama Informasi Dengan Mass Media,Kegiatan Penyebarluasan Informasi Penyelenggaraan Pemerintahan Daerah,2840374800,2638863204,92.91,2017,-
Bagian Humas,Program Kerjasama Informasi Dengan Mass Media,Penyebarluasan Informasi Kebijakan Pemerintah Daerah,799225000,696911900,87.2,2017,-
