no,kecamatan,kelurahan,nama_gereja_kristen,alamat
1,Cinambo,Pakemitan,Masehi Advent Hari Ketujuh Jemaat Ujung Berung,Komp. Batalion Zipur 9 Ujung Berung Bandung
2,Cinambo,Pakemitan,Gereja Kisten Indonesia Bajem Ujung Berung,Yon Zipur Para 9 Ujungberung Bandung
