name,description,url,filename
"Data Penduduk 10 Tahun Keatas Menurut Kecamatan, Jenis Kelamin dan Status Perkawinan di Kota Bandung","Dataset ini berisi mengenai Data Penduduk 10 Tahun Keatas Menurut Kecamatan, Jenis Kelamin dan Status Perkawinan di Kota Bandung",https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/349/e66/penduduk-10-tahun-keatas-menurut-kecamatan-jenis-kelamin-dan-status-perkawinan.csv,penduduk_10_tahun_keatas_menurut_kecamatan_jenis_kelamin_dan_status_perkawinan_di_kota_bandung.csv
Data Toko Modern di Kecamatan Arcamanik Tahun 2017,Data ini berisi kolom : * No * Kecamatan * Kelurahan * Nama Perusahaan/Toko * Alamat,http://data.bandung.go.id/dataset/02d88a6a-5749-48cc-9b47-667bc43ac42f/resource/2ffbfeda-fd58-4604-95e1-8d69352f32e1/download/data-toko-modern-kecamatan-arcamanik-2017.csv,toko_modern_di_kecamatan_arcamanik_tahun_2017.csv
Data Tempat Ibadah Kelurahan Sekeloa Kecamatan Coblong,Dataset ini berisi mengenai daftar nama tempat ibadah dan alamat yang ada di Kelurahan Sekeloa Kecamatan Coblong tahun 2016.,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/019/cda/data-tempat-ibadah-kelurahan-sekeloa-kecamatan-coblong-tahun-2016-.csv,tempat_ibadah_kelurahan_sekeloa_kecamatan_coblong.csv
Data Sarana Kesehatan Bersumber Masyarakat (UKBM) Kota Bandung Tahun 2016,Data ini berisi kolom : * Jenis UKBM * Jumlah * Satuan,http://data.bandung.go.id/dataset/032bb1d1-0662-4d9d-a0d5-c911272e2b9c/resource/bf1c540f-9c2f-4f97-bc8f-edffd45b7536/download/sarana-kesehatan-bersumber-masyarakat-ukbm-kota-bandung-2016.csv,sarana_kesehatan_bersumber_masyarakat_ukbm_kota_bandung_tahun_2016.csv
Data Per Desember 2016,"Jumlah tenaga kerja di Kota Bandung berdasarkan jenis kelamin, kecamatan dan kelurahan yang terdaftar di Dinas Tenaga Kerja Kota Bandung.",https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/ab4/312/data-jumlah-pekerja-perkecamatan-dan-kelurahan.csv,per_desember_2016.csv
Data Pelayanan Administrasi Kependudukan Kecamatan Lengkong Tahun 2014,Dataset ini berisi mengenai data pelayanan administrasi kependudukan di Kecamatan Lengkong Kota Bandung pada tahun 2014,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/40c/0a7/data-pelayanan-administrasi-kependudukan-lengkong-2014.csv,pelayanan_administrasi_kependudukan_kecamatan_lengkong_tahun_2014.csv
Data Masjid Di Kecamatan Rancasari Tahun 2018,Data ini berisi kolom : * Nama Kecamatan * Nama Kelurahan * Nama Masjid * Tipologi * Alamat * Luas Tanah (m2) * Status Tanah * Luas Bangunan (m2) * Tahun Berdiri * Kapasitas Jamaah * Jumlah Imam * Jumlah Khatib * Jumlah Muazin * Jumlah Remaja * Kontak,http://data.bandung.go.id/dataset/039bb606-6254-4a35-84af-d386e2d1c820/resource/d978904c-c988-4102-85c4-93b6c8e64325/download/data-masjid-rancasari-2018.csv,masjid_di_kecamatan_rancasari_tahun_2018.csv
Data RUP Penyedia Tahun 2014,Data rencana umum pengadaan Kecamatan Batununggal berdasarkan tipe pengadaan pertahun,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/540/e28/71682-kecamatan-batununggal-penyedia-2014.csv,rup_penyedia_tahun_2014.csv
Data Sarana Pendidikan Sekolah Dasar di Kecamatan Panyileukan,Dataset ini berisi mengenai data sarana pendidikan Sekolah Dasar (SD) yang berada di wilayah Kelurahan Mekarmulya Kecamatan Panyileukan Kota Bandung,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/029/6c9/data-sarana-pendidikan-sd-kec.panyileukan.csv,sarana_pendidikan_sekolah_dasar_di_kecamatan_panyileukan.csv
Data Musholla di Kecamatan Batununggal Tahun 2018,Data ini berisi kolom : * Nama Kecamatan * Nama Kelurahan * Nama Mushola * Alamat Lengkap * Luas Tanah (m2) * Status Tanah * Luas Bangunan (m2) * Tahun Berdiri * Kapasitas Jamaah * Jumlah Imam * Jumlah Khatib * Jumlah Muazin * Jumlah Remaja * Kontak,http://data.bandung.go.id/dataset/05063c80-ec21-4958-b194-d4367eaeda4e/resource/b76d2e71-e1c8-4b64-861d-a01209970052/download/kecamatan-batununggal.csv,musholla_di_kecamatan_batununggal_tahun_2018.csv
Data Gereja di Kecamatan Regol Tahun 2018,Data ini berisi kolom : * Kecamatan * Kelurahan * Nama gereja * Alamat gereja,http://data.bandung.go.id/dataset/057032c7-50af-44f0-9a78-77826ff7ecb0/resource/4162dfa7-23a3-4a9f-b2ed-114f91133c89/download/data-gereja-kristen-di-kecamatan-regol.csv,gereja_di_kecamatan_regol_tahun_2018.csv
Data RUP Penyedia Tahun 2014,Data rencana umum pengadaan Badan Kepegawaian Daerah berdasarkan tipe pengadaan pertahun,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/038/d30/72020-badan-kepegawaian-daerah-penyedia-2014.csv,rup_penyedia_tahun_2014.csv
Data Luas Taman Kota di Wilayah Kota Bandung Tahun 2017,Data ini berisi kolom : * Wilayah * Luas Taman * Jumlah Taman,http://data.bandung.go.id/dataset/057b0e8c-3597-4818-a376-e239ae10c65f/resource/c5ca0ae0-0a98-4143-abed-cc74b47bdca8/download/banyaknya-taman-kota-dan-luasnya--wilayah-di-kota-bandung-2017--.csv,luas_taman_kota_di_wilayah_kota_bandung_tahun_2017.csv
Data RUP Penyedia Tahun 2014,Data rencana umum pengadaan Kecamatan Panyileukan berdasarkan tipe pengadaan pertahun,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/fcc/437/71591-kecamatan-panyileukan-penyedia-2014.csv,rup_penyedia_tahun_2014.csv
Data Serapan Anggaran Bagian Organisasi dan Pemberdayaan Aparatur Daerah Tahun 2017,Data ini berisi kolom : Data ini berisi kolom : * SKPD * Program * Kegiatan * Anggaran * Realisasi * Persentase_serapan * Tahun * Catatan,http://data.bandung.go.id/dataset/05c665e9-3ba2-44f1-bb6a-9cd8349a5f71/resource/1653f1b5-3628-489a-a22c-83eadf800060/download/lkpjbagian-organisasi-dan-pemberdayaan-aparatur-daerah2017.csv,serapan_anggaran_bagian_organisasi_dan_pemberdayaan_aparatur_daerah_tahun_2017.csv
Data Hotel di Kecamatan Cicendo,Dataset ini berisi mengenai nama dan alamat hotel yang ada di Kecamatan Cicendo.,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/0ee/aff/data-hotel-di-kecamatan-cicendo.csv,hotel_di_kecamatan_cicendo.csv
Data Gereja di Kecamatan Andir Tahun 2018,Data ini berisi kolom : * Kecamatan * Kelurahan * Nama gereja * Alamat gereja,http://data.bandung.go.id/dataset/05fa8b62-2c7c-4129-83f8-88b78a9740b1/resource/bbe408f9-f22e-48bf-b5db-6c2fdb589f26/download/data-gereja-kristen-di-kecamatan-andir-.csv,gereja_di_kecamatan_andir_tahun_2018.csv
Data CSR Bidang Agama Tahun 2017,Data ini berisi kolom : * No * Nama Perusahaan * Alamat Perusahaan * Besaran Nilai (Perkiraan) * Uraian * Sub Program Prioritas * Penerima * Kecamatan * Kelurahan,http://data.bandung.go.id/dataset/061b6ecf-bfa2-4d23-9fc6-d3336a8e4a68/resource/fc073681-8c1c-455f-948a-a38099e5b934/download/data-csr-bidang-agama-2017.csv,csr_bidang_agama_tahun_2017.csv
Data Siswa SD Laki-Laki di Kota Bandung Tahun Ajaran 2014-2015,Dataset mengenai Data Siswa SD Laki-Laki di Kota Bandung Tahun Ajaran 2014-2015,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a62/021/data-sd-2014-2015-laki-laki.csv,siswa_sd_lakilaki_di_kota_bandung_tahun_ajaran_20142015.csv
Data Usulan Lokasi Penghijauan di Kecamatan Antapani Tahun 2016,Dataset ini berisi mengenai data usulan lokasi penghijauan yang dilakukan di wilayah Kecamatan Antapani Kota Bandung pada tahun 2016,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/5ec/d0c/data-usulan-lokasi-penghijauan-kec.antapani-2016.csv,usulan_lokasi_penghijauan_di_kecamatan_antapani_tahun_2016.csv
